State,County,Operator,Facility,Square Feet,Latitude,Longitude,Type
NM,Bernalillo County,UNM,UNM Data Center,,35.08673849999998,-106.6153476,point
CA,Santa Clara County,Prime,Prime Santa Clara,,37.3666621,-121.9628653,point
NJ,Middlesex County,,Open Data Centers Piscataway,,40.55035010000003,-74.4568563,point
NJ,Hudson County,H5,H5 Secaucus,,40.7853948,-74.0750122,point
CA,Santa Clara County,,"Forescout Technologies, Inc.",,37.322867500000015,-121.9474176,point
NY,Albany County,Lumen Technologies,Lumen Albany 4,,42.73563079999996,-73.818665,point
NJ,Mercer County,,501 West,,40.315558,-74.6688514,point
NY,Kings County,Dataverge,Dataverge,,40.6576957,-74.0048163,point
OK,Tulsa County,,TulsaConnect DC3,,36.09947349999995,-95.8382826,point
AZ,Maricopa County,,Comarch,,33.35667870000003,-111.6352356,point
VA,Loudoun County,Equinix,Equinix,,39.0137917,-77.45379770000001,point
VA,Loudoun County,NTT,NTT Ashburn VA7 Data Center,,39.01601419999996,-77.471954,point
VA,Prince William County,NTT,NTT VA11 Data Center,,38.79997309999995,-77.6099636,point
WI,Dane County,Lumen Technologies,Lumen Madison 1 Data Center,,43.0677161,-89.3922794,point
NV,Clark County,Fiberhub,Fiberhub LAS1,,36.065940500000025,-115.1398835,point
PA,Montgomery County,,DāStor: 3400 Horizon Drive,,40.0879189,-75.3397205,point
WA,Snohomish County,,,,47.95874409999997,-122.19153160000002,point
NJ,Middlesex County,,Verizon,105786.0,40.544255575339086,-74.49652096385213,building
NM,Bernalillo County,Sandia National Laboratories,HPC,158463.0,35.04994198140703,-106.54282204012988,building
NJ,Union County,Barclays,Barclays Datacenter,94373.0,40.64375303305022,-74.2854811685437,building
MD,Anne Arundel County,AiNET,CyberNAP Glen Burnie,89879.0,39.14024170792839,-76.60643112564962,building
ND,Cass County,,Dakota Carrier Network,25931.0,46.815096871160755,-96.84432644133295,building
VA,Prince William County,Microsoft,Microsoft Data Center 1,248706.0,38.802411123405435,-77.58237918460041,building
TX,Tarrant County,Cyxtera,Cyxtera Dallas-Fort Worth Data Center,309104.0,32.83271789531522,-97.04104164357379,building
TX,Dallas County,Equinix,Equinix Infomart,239835.0,32.800943223354516,-96.81951054615745,building
MA,Middlesex County,,CoreSite BO1,133960.0,42.37670588441372,-71.07975761785328,building
CA,Los Angeles County,United States Postal Service,USPO Terminal Annex,99270.0,34.05810223750122,-118.23539293786435,building
TX,Dallas County,,DataBank,43564.0,32.77830147586322,-96.79843729423008,building
OH,Warren County,CyrusOne,CyrusOne Cincinnati-Mason CIN3,82813.0,39.30389580652139,-84.31158000001082,building
CA,San Diego County,,LightEdge SAN1,83576.0,32.82786552245116,-117.12993394626551,building
CA,San Diego County,EdgeConneX,EdgeConneX San Diego,39204.0,32.84230866175551,-117.16934498916471,building
CA,Sacramento County,NTT,RagingWire CA2,204702.0,38.65039952664551,-121.4919460999218,building
CA,Sacramento County,NTT,RagingWire CA1,192302.0,38.6504318296716,-121.48918647194274,building
CA,Santa Clara County,Equinix,Equinix SV1,135022.0,37.241586803622475,-121.78332012554078,building
OH,Hamilton County,,,13074.0,39.29404817711078,-84.41211321321835,building
CA,Santa Clara County,Lumen Technologies,Lumen Sunnyvale 1,77132.0,37.37343914717909,-121.98781298708595,building
CA,Santa Clara County,,OpenColo,65471.0,37.37881629219563,-121.9559372517348,building
CA,Santa Clara County,Equinix,Equinix Santa Clara SV2,81106.0,37.378433690879675,-121.95499188032426,building
CA,Santa Clara County,Layer42,Layer42 Santa Clara,25031.0,37.37803994846724,-121.95415110295473,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC34,129242.0,37.37238819600702,-121.97361948707294,building
CA,Santa Clara County,Csquare,Csquare SFO1,92193.0,37.37151904950224,-121.96969744699749,building
CA,Santa Clara County,Vantage,,89293.0,37.37338590969103,-121.97269294062247,building
GA,Fulton County,,Strategic Datasphere,127487.0,34.094797397146834,-84.23569669805588,building
GA,Fulton County,Flexential,Flexential Atlanta - Alpharetta Data Center,74814.0,34.08700522015896,-84.25175214578698,building
GA,Fulton County,,Secure Data Center,184012.0,34.09370760877427,-84.25087563573244,building
CA,Santa Clara County,Cologix,Cologix Santa Clara SV1 Data Center,80686.0,37.365332809676644,-121.96170041834213,building
MO,St. Louis city,,Netrality Data Centers,23093.0,38.629261583814454,-90.19717483469691,building
MN,Hennepin County,,,51180.0,44.99145768178521,-93.28029157264127,building
VA,Prince William County,,,52906.0,38.8034145956349,-77.51057747982038,building
VA,Prince William County,Amazon Web Services,Amazon IAD11,122474.0,38.7905000091204,-77.54111111952334,building
VA,Prince William County,Amazon Web Services,Amazon IAD24,31388.0,38.79035015234267,-77.54000633941989,building
VA,Prince William County,Amazon Web Services,Amazon IAD7,109423.0,38.791203747135164,-77.53827709190358,building
OH,Hamilton County,CyrusOne,CyrusOne CIN2,29534.0,39.102694860422,-84.5178975375086,building
VA,Prince William County,Digital Realty,VA 4,263538.0,38.778111267694825,-77.59487615343248,building
VA,Loudoun County,Amazon Web Services,Amazon IAD10,112726.0,39.02164555421083,-77.43287558094706,building
VA,Loudoun County,Amazon Web Services,Amazon IAD32,35700.0,39.021569324905784,-77.43479445424036,building
OR,Washington County,NTT,NTT RagingWire Data Center,260339.0,45.54958398305162,-122.93739288565135,building
VA,Loudoun County,Centersquare,Centersquare IAD1-B,79070.0,39.023907303402744,-77.41518976104278,building
VA,Loudoun County,Centersquare,Centersquare IAD1-A,89830.0,39.02332121137023,-77.41320102441203,building
VA,Loudoun County,Centersquare,Centersquare IAD1-C,135383.0,39.02475554834784,-77.41220366109692,building
MN,Carver County,Flexential,Flexential Minneapolis - Chaska,135505.0,44.851592872460415,-93.59883127267699,building
CO,Denver County,,Pearl Plaza Office Building,48787.0,39.7452303524917,-104.9793322493064,building
CA,Santa Clara County,Csquare,Csquare SFO2,146098.0,37.39757919519815,-121.98086935124525,building
CA,Santa Clara County,Csquare,Csquare SFO2,115693.0,37.398618330654124,-121.98111165297756,building
CA,Santa Clara County,Quality Technology Services,QTS Santa Clara 1,32173.0,37.3939837776226,-121.9783096948657,building
CA,Santa Clara County,CoreSite,CoreSite SV3,57809.0,37.375142093130535,-121.97170937319942,building
CA,Santa Clara County,CoreSite,CoreSite SV6,61065.0,37.37630188107878,-121.9720837996958,building
CA,Santa Clara County,CoreSite,CoreSite SV8,41609.0,37.37738265663316,-121.97184005129327,building
CA,Santa Clara County,CoreSite,CoreSite SV5,50856.0,37.37519609893816,-121.97068979279838,building
CA,Santa Clara County,CoreSite,CoreSite SV9,60403.0,37.37555851562927,-121.9696099700001,building
CA,Santa Clara County,Quality Technology Services,QTS Santa Clara 2,36808.0,37.392721680369995,-121.97839685413798,building
VA,Loudoun County,Stack Infrastructure,STACK NVA01A - Northern Virginia,179330.0,39.00469915095735,-77.44176407064174,building
MN,Hennepin County,,Minnesota Gateway Data Center,87697.0,44.971301851540524,-93.25465186950477,building
NY,Albany County,,IBM Building,15355.0,42.64935307482799,-73.75274524524227,building
MI,Wayne County,Verizon Wireless,,24933.0,42.32626638267386,-83.07698605863366,building
NH,Strafford County,University of New Hampshire,,30553.0,43.14361852278147,-70.95247263094524,building
VA,Fairfax County,Digital Realty,VA3,96241.0,38.94846385537976,-77.32729535293994,building
VA,Fairfax County,Evocative,IAD1,19325.0,38.948816283696026,-77.32940997281177,building
VA,Fairfax County,CoreSite,CoreSite Reston Campus VA1,138035.0,38.95058588476482,-77.36454759568812,building
VA,Fairfax County,CoreSite,CoreSite Reston VA3,249707.0,38.948467566191745,-77.37236980332835,building
NH,Rockingham County,FirstLight,,9316.0,43.076119257940064,-70.80804278053505,building
CO,Denver County,,Insurance Exchange Building,19807.0,39.74557178480439,-104.99569107436942,building
MD,Montgomery County,Lincoln Rackhouse,Lincoln Rackhouse Maryland,146301.0,39.058562876001396,-76.96432170852862,building
OH,Warren County,,CyrusOne Cincinnati-Lebanon,198403.0,39.389018743304874,-84.22187533046083,building
NJ,Hudson County,Equinix,Equinix NY7 Data Center,68650.0,40.796863665422755,-74.03114084082605,building
CA,Santa Clara County,Equinix,Equinix SV4,122369.0,37.414564315001705,-122.01457953685339,building
TX,Bexar County,H5 Data Centers,H5 Data Centers San Antonio,20898.0,29.429371203329154,-98.48690639326541,building
IA,Polk County,,Aureon,11253.0,41.58799896574003,-93.63100934781295,building
NC,Catawba County,,,564402.0,35.58801263645746,-81.2625268693149,building
CT,Greater Bridgeport Planning Region,Digital Realty,Digital Realty New York HVN10,134982.0,41.240845975747995,-73.14729942014093,building
IL,DuPage County,,Lincoln Rackhouse,70123.0,41.77216480426539,-88.21709086916937,building
IL,Cook County,Digital Realty,Digital Realty CH1,469756.0,41.9942374258667,-87.9621721611993,building
MN,Ramsey County,H5,H5 Minneapolis,108201.0,44.97225310056339,-93.14746015568033,building
AZ,Maricopa County,,Iron Mountain Records Storage,145832.0,33.42038002383983,-112.04132577986101,building
CA,Santa Clara County,Equinix,Equinix SV8,12034.0,37.4458952191873,-122.16078171269815,building
IL,Champaign County,,NCSA Petascale Computing Facility,45620.0,40.0952591082798,-88.24203140072825,building
OH,Clark County,,LexisNexus Springfield,79937.0,39.912780082512555,-83.72376141602335,building
IL,Cook County,Digital Realty,Digital Realty ORD11,9092.0,41.874293455155716,-87.6299544230533,building
AZ,Maricopa County,Lumen Technologies,Lumen,25456.0,33.494335663580785,-112.07078574015735,building
AZ,Maricopa County,,L3Harris Technologies Inc,14469.0,33.305358472652046,-111.67170400658866,building
AZ,Maricopa County,,AZ Labs,31625.0,33.30627197618172,-111.67170030895342,building
IL,Cook County,Serverfarm,Serverfarm CH1,56419.0,41.87094383153392,-87.64014138665925,building
AZ,Maricopa County,,Aligned Energy Data Center,512814.0,33.65904093166706,-112.1111681546868,building
VA,Fairfax County,,,19578.0,38.91370196270548,-77.22583813234796,building
IL,Cook County,,Lakeside Technology Center,129156.0,41.85365260553142,-87.61835925441967,building
AZ,Maricopa County,Flexential,Flexential Phoenix - Deer Valley,110023.0,33.68467413465491,-112.09835688437997,building
CA,Santa Clara County,Equinix,Equinix SV5,166314.0,37.242040468049765,-121.78183928506776,building
NE,Douglas County,Union Pacific Railroad,"Union Pacific Jack Koraleski Technology, Research & Development Center",54386.0,41.31800464008671,-96.05034469779658,building
PA,Allegheny County,,DataBank Pittsburgh PIT2,60007.0,40.45136852628799,-80.19011838169587,building
NM,Bernalillo County,,Molina Healthcare,25568.0,34.99544591929667,-106.6180344451433,building
NV,Clark County,Switch,Switch12,378533.0,36.06173889835819,-115.21329217773743,building
NV,Clark County,Switch,Switch Las Vegas 7,324714.0,36.0599251410274,-115.2102454859217,building
IL,Cook County,EdgeConneX,EdgeConneX CHI01,120191.0,42.0007751967201,-87.95076869609937,building
MD,Frederick County,,,64023.0,39.37777631106896,-77.41151850588292,building
NJ,Middlesex County,,Verizon Wireline Network Building,32247.0,40.49490313194832,-74.44309493400539,building
CA,Sacramento County,NTT,RagingWire CA3,151366.0,38.64423934979837,-121.49876273284119,building
IA,Pottawattamie County,,,227733.0,41.221485601110565,-95.86382197465201,building
CA,San Francisco County,Digital Realty,360 Spear Street Data Center,34599.0,37.78899165567791,-122.39013668594598,building
NJ,Hudson County,Equinix,Equinix New York Secaucus NY5,211455.0,40.778601776092906,-74.07230107061669,building
NJ,Hudson County,Equinix,Equinix New York Secaucus NY4,317271.0,40.77642808463356,-74.06977589855025,building
NJ,Hudson County,Equinix,Equinix NY3,274326.0,40.77485223268518,-74.06889004630656,building
NJ,Hudson County,Equinix,Equinix New York Secaucus NY2,402960.0,40.777419512398815,-74.07591694092635,building
NJ,Hudson County,Centersquare,Centersquare NYC3 Data Center,143163.0,40.78616439093752,-74.0691821816355,building
CA,Sacramento County,Quality Technology Services,QTS Sacramento,90196.0,38.64634932434983,-121.48622274438772,building
MO,Platte County,,,59078.0,39.29060065186886,-94.67586457158035,building
MO,Platte County,,,240121.0,39.29565786492794,-94.67347189937067,building
MO,Platte County,,Black Rock Financial Management,80025.0,39.29549174690983,-94.67802527431246,building
MO,Platte County,,,51140.0,39.30240570000002,-94.68479180000001,building
OK,Tulsa County,,Cherokee Data Center,414827.0,36.262546064848785,-95.91003132509714,building
IL,DuPage County,CyrusOne,CyrusOne Chicago Aurora CME,483103.0,41.796710711308634,-88.24360276405726,building
CO,Arapahoe County,,Xfinity/Comcast Data Center,51338.0,39.58830727896719,-104.83243481889166,building
IN,Monroe County,Indiana University,IU Data Center,94298.0,39.17441904115309,-86.50070264597521,building
NJ,Middlesex County,,IO Datacenter,829908.0,40.52090133951354,-74.34731684822508,building
NJ,Middlesex County,,DataBank Piscataway EWR2,50646.0,40.54921344799001,-74.45820961797183,building
NJ,Middlesex County,,Optimum,68126.0,40.54682624146539,-74.49202896146267,building
NJ,Middlesex County,Equinix,Equinix,62331.0,40.544881931988044,-74.49538057525375,building
NJ,Middlesex County,Barclays,Barclays Datacenter,352286.0,40.547244262797776,-74.45973725982067,building
NJ,Middlesex County,Digital Realty,Digital Realty New York EWR12,302795.0,40.552904504371845,-74.45930065392757,building
NJ,Middlesex County,Digital Realty,Digital Realty New York EWR11,96114.0,40.553778822975,-74.45717948150579,building
WA,King County,,Intergate Seattle East Building 2,107319.0,47.4950309,-122.29056965000002,building
WA,King County,Sabey,Intergate Seattle East Building 1,97862.0,47.494859625594295,-122.28819434207321,building
CA,Santa Clara County,Equinix,Equinix SV15,38211.0,37.37549515,-121.9884063,building
CA,Santa Clara County,Equinix,Equinix SV16,26347.0,37.3761180228337,-121.98868795323646,building
CA,Santa Clara County,Equinix,Equinix SV17,42360.0,37.376528995423726,-121.9885839131246,building
CA,Santa Clara County,Equinix,Equinix SV14,20213.0,37.37496213796006,-121.9885093245873,building
CA,Santa Clara County,CoreSite,CoreSite SV4,51928.0,37.376263105502225,-121.97068417340405,building
CA,Santa Clara County,Lumen Technologies,Lumen Santa Clara,25424.0,37.37700481452383,-121.95208193309931,building
CA,Santa Clara County,Prime,Prime Santa Clara,30065.0,37.375017216615134,-121.95324973328165,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC10,57051.0,37.375822905103156,-121.95333535904952,building
CA,Santa Clara County,,Colovore,24161.0,37.3767294666844,-121.953148830542,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC30,48539.0,37.37828897412898,-121.95810528698995,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC15,24615.0,37.37499655000001,-121.9540769,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC16,42504.0,37.37492909612392,-121.95598616989584,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC29,40287.0,37.3750232,-121.95809620000001,building
CA,Santa Clara County,Csquare,Csquare SFO4,27286.0,37.37577706116415,-121.9551929872298,building
CA,Santa Clara County,Prime,Prime SANTA CLARA DATA CENTER,25825.0,37.37502630610429,-121.95488070141614,building
CA,Santa Clara County,Digital Realty,Digital Realty Silicon Valley SJC11,44027.0,37.376341007159375,-121.94853104745557,building
CA,Santa Clara County,Lumen Technologies,Lumen,15840.0,37.37758479553173,-121.9506820752741,building
CA,Santa Clara County,Digital Realty,Silicon Valley SJC31,146597.0,37.37224989720611,-121.94832893020244,building
CA,Santa Clara County,,,18864.0,37.37977911175433,-121.94991004387076,building
CA,Santa Clara County,,Evocative Santa Clara SJC11,51418.0,37.389539602194105,-121.96194604419048,building
IL,Cook County,Quality Technology Services,QTS Chicago,267112.0,41.84218652573065,-87.66900815123205,building
IL,Cook County,Iron Mountain,Iron Mountain Data & Record Storage,106033.0,41.84879669088516,-87.64550983269827,building
AZ,Maricopa County,,Data Storage Centers,38109.0,33.42169287466204,-112.03430310770472,building
MA,Essex County,TierPoint,,51354.0,42.68570898636425,-71.20859932048867,building
MA,Middlesex County,Markley Group,Markley Data Center,123665.0,42.630261995886414,-71.30442370613237,building
NC,Mecklenburg County,Flexential,Flexential Charlotte - South,33741.0,35.135430649447706,-80.93687157945992,building
AZ,Maricopa County,Digital Realty,Digital Realty Data Center,67568.0,33.34464820841852,-111.89922679940673,building
WA,King County,Comcast,,8025.0,47.69332367388028,-122.3173171877123,building
VA,Fairfax County,,Equinix DC97,43991.0,38.96157142182295,-77.37742307618406,building
VA,Prince William County,Amazon Web Services,Amazon IAD-55,228140.0,38.8150615109984,-77.64876375589797,building
WA,King County,,CTI Biopharma,20600.0,47.61778780606976,-122.35669303338639,building
WA,King County,Digital Realty,Westin Building,13117.0,47.614355376759036,-122.33886422527601,building
VA,Prince William County,,COPT Data Center,127955.0,38.74728120499865,-77.53184529524445,building
CA,Santa Clara County,,Dell 350 Holger Way,45282.0,37.418407037231546,-121.94308461788358,building
CA,Santa Clara County,SV Colo,SV Colo,57709.0,37.36431021582024,-121.95879926774863,building
CA,Santa Clara County,Microsoft,Microsoft,166655.0,37.36206620767396,-121.94643635566183,building
VA,Fauquier County,,OVH US East Vint Hill,85783.0,38.747444697496626,-77.674453774668,building
WY,Laramie County,University Corporation for Atmospheric Research,NCAR-Wyoming Supercomputing Center,101129.0,41.12879048780395,-104.8974867935568,building
WA,King County,H5 Data Centers,The Seattle Times,48589.0,47.6189848286576,-122.33646162398661,building
NC,Wake County,,Segra Data Center,46141.0,35.72499209334413,-78.66236321380103,building
VA,Loudoun County,Equinix,Equinix Ashburn DC2,175215.0,39.01647070668764,-77.45900625386373,building
VA,Loudoun County,H5,H5 Data Centers Ashburn,83656.0,39.01367498967383,-77.45171989427695,building
SD,Minnehaha County,,TierPoint Sioux Falls West Data Center,55963.0,43.60697077830055,-96.80919489854257,building
VA,Fairfax County,Lumen Technologies,Lumen McLean,42056.0,38.920020715800106,-77.21161871830866,building
VA,Fairfax County,DataBank,DataBank McLean IAD2,22957.0,38.919905149999984,-77.213585,building
UT,Salt Lake County,,eBay,183167.0,40.563749332064994,-112.04772494381281,building
IL,DuPage County,Equinix,Equinix Chicago Data CH7,47336.0,41.81255711125007,-87.97284349357055,building
AZ,Maricopa County,,PhoenixNAP,79223.0,33.416050537611895,-112.00942632359931,building
NY,Richmond County,Merrill Lynch,Merrill Lynch Data Center,63435.0,40.60738024219028,-74.17317970582978,building
NY,Richmond County,Telehouse,Telehouse Teleport,69999.0,40.606985210742295,-74.17488651958078,building
NY,New York County,,32 Avenue of the Americas,42396.0,40.7199984788648,-74.00463587014985,building
VA,Fairfax County,Digital Realty,Digital Realty,72337.0,38.910132698881334,-77.47258022000781,building
MO,St. Louis city,,TierPoint,24039.0,38.629761007422985,-90.19642026723602,building
NV,Clark County,,Verizon,25884.0,36.14473260674411,-115.07792815622217,building
TX,Bexar County,,,127563.0,29.446674201882978,-98.64069026709899,building
TX,Bexar County,,,142712.0,29.44792213611551,-98.64112862006763,building
TX,Bexar County,,,36014.0,29.447199008569765,-98.64099341767283,building
TX,Collin County,,,121665.0,33.0959943127187,-96.6815654388646,building
TX,Collin County,Centersquare,Evoque Allen DA1,114534.0,33.09506355496614,-96.68376373701797,building
NE,Douglas County,,,69219.0,41.26141937000315,-95.93649511236761,building
VA,Henrico County,Flexential,Flexential - Richmond,39778.0,37.646890211666296,-77.43869516627511,building
VA,Fairfax County,Amazon Web Services,Amazon IAD-9,85855.0,38.89965169459053,-77.45344040948046,building
VA,Fairfax County,,Amazon IAD22,30140.0,38.897901754858836,-77.4551018400219,building
VA,Fairfax County,Amazon Web Services,Amazon IAD-1,93882.0,38.8978591429832,-77.45407518556887,building
VA,Fairfax County,,,43330.0,38.90924510896112,-77.47224542913196,building
VA,Fairfax County,,,32222.0,38.90979813135274,-77.47346579230704,building
VA,Fairfax County,,,56049.0,38.75081659619635,-77.19627275438577,building
GA,Fulton County,,Cox Data Center,127858.0,34.03620188650896,-84.31955321544369,building
GA,Fulton County,Quality Technology Services,QTS Atlanta Data Center 1,719736.0,33.77768118317794,-84.42109985566867,building
CA,Santa Clara County,Csquare,Csquare SFO3,71209.0,37.37210369823862,-121.98603139678367,building
VA,Loudoun County,Centersquare,Centersquare IAD3,130748.0,38.98092474579163,-77.44424695369074,building
VA,Loudoun County,Centersquare,Centersquare IAD2-A,48153.0,38.98441813138134,-77.42381652099039,building
VA,Loudoun County,CyrusOne,,127744.0,38.984886747259175,-77.42564884235941,building
VA,Loudoun County,Centersquare,Centersquare IAD2-B,71819.0,38.983603751418265,-77.42410521653314,building
GA,Fulton County,Digital Realty,Digital Realty Data Center,128785.0,33.65703230342235,-84.41520253550436,building
NJ,Hudson County,Cyxtera,Cyxtera (Digital Realty Trust) Citibank Data Center,58356.0,40.76076492861668,-74.02575833907822,building
NJ,Hudson County,Digital Realty,Digital Realty New Jersey EWR10,126960.0,40.76183107973774,-74.0250249133357,building
WA,Grant County,,,151976.0,47.246212274500515,-119.81322935249646,building
WA,Grant County,,,133363.0,47.2476524702812,-119.81318678094023,building
WA,Grant County,,,135310.0,47.24616793469351,-119.81575602495433,building
WA,Grant County,,,246778.0,47.25257380685949,-119.81966487510037,building
WA,Grant County,,,151213.0,47.246735550380414,-119.82886591673484,building
WA,Grant County,,,35848.0,47.24599141482696,-119.82979118180242,building
WA,Grant County,,,35925.0,47.24598940000003,-119.82917030000002,building
WA,Grant County,,,33824.0,47.24598937484991,-119.82815880656044,building
WA,Grant County,,,33688.0,47.24600329999998,-119.82754150000002,building
WA,Grant County,,,19067.0,47.2460667373865,-119.82866158741606,building
GA,Cobb County,datasite,DataSite Atlanta,77660.0,33.925511260482295,-84.48161598882196,building
